date,url_list,Webste,Title,Sapo,Content
10/11/2023,https://vietnambiz.vn/gia-phan-bon.html,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
08/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-811-phan-ure-ca-mau-phu-my-giam-den-20000-dongbao-202311795226917.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
01/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-111-phan-npk-va-kali-tiep-tuc-di-ngang-20231031105126587.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
27/10/2023,https://vietnambiz.vn/dam-phu-my-lai-rong-64-ty-quy-iii-thap-nhat-16-quy-2023102714193584.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
28/11/2023,https://vietnamnet.vn/chuyen-dich-nang-luong-hanh-trinh-tat-yeu-gan-voi-cong-nghe-luu-tru-2190964.html,vietnamnet.vn,content-detail-title,content-detail-sapo sm-sapo-mb-0,maincontent main-content
25/11/2023,https://www.anninhthudo.vn/chua-dieu-chinh-thue-suat-thue-xuat-khau-mat-hang-phan-bon-post558988.antd,www.anninhthudo.vn,article__title cms-title ,article__sapo cms-desc,article__body cms-body 
28/11/2023,https://www.qdnd.vn/kinh-te/tin-tuc/gia-xang-dau-hom-nay-28-11-giam-phien-thu-tu-lien-tiep-753274,www.qdnd.vn,post-title,post-summary,articleBody
27/11/2023,https://www.qdnd.vn/kinh-te/cac-van-de/petrovietnam-ve-dich-som-nhieu-chi-tieu-san-luong-va-tai-chinh-753085,www.qdnd.vn,post-title,post-summary,articleBody
28/11/2023,https://www.tinnhanhchungkhoan.vn/luc-cau-bat-day-tich-cuc-thi-truong-chung-khoan-dao-chieu-tang-trong-phien-chieu-2811-post334821.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
16/11/2023,https://www.tinnhanhchungkhoan.vn/co-phieu-can-quan-tam-ngay-1611-post333972.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
10/11/2023,https://www.tinnhanhchungkhoan.vn/chi-so-san-xuat-toan-nganh-cong-nghiep-iip-uoc-tang-55-post333595.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
09/11/2023,https://www.tinnhanhchungkhoan.vn/nganh-phan-bon-don-tin-hieu-kha-quan-post333234.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
27/10/2023,https://www.tinnhanhchungkhoan.vn/dpm-tiet-giam-chi-phi-ung-pho-voi-bao-gia-nguoc-chieu-loi-nhuan-quy-iii2023-ghi-nhan-hon-68-ty-dong-post332612.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
